type,id,question,A,B,C,D,correct,image,acceptedAnswers,image1,answer1,image2,answer2,image3,answer3,image4,answer4
mcq,246,Dyżurna Służba Operacyjna związku taktycznego (skrzydło) zaszeregowana jest do?,Grupy 1,Grupy 2,Grupy 3,Grupy 4,B,,,,,,,,,,
mcq,247,Struktura ponadetatowych potrzeb mobilizacyjnych obejmuje?,Grupę zabezpieczenia ukompletowania,Wyłącznie rezerwy osobowe,Wyłącznie sprzęt rezerwowy,Jednostki szkolne,A,,,,,,,,,,
mcq,248,Decyzję o wprowadzeniu określonego stanu gotowości bojowej w SZ RP wydaje?,Prezydent RP,Szef Sztabu Generalnego,Minister Obrony Narodowej,Dowódca Generalny RSZ,C,,,,,,,,,,
mcq,249,Zasadniczy tryb powołania uzupełnień mobilizacyjnych realizowany jest siłami?,Policji,"AK i AP (Akcja Kurierska, Administracja Publiczna)",Dowództwa jednostki,Żandarmerii Wojskowej,B,,,,,,,,,,
mcq,250,Dyżury bojowe i ratownicze w SZ RP pełni się?,Wyłącznie w czasie wojny,W podwyższonej gotowości,W każdym stanie gotowości bojowej,Tylko w stanie kryzysu,C,,,,,,,,,,
mcq,251,Nabój pistoletowy składa się z?,Pocisku i łuski,"Pocisku, łuski, ładunku miotającego i spłonki",Pocisku i spłonki,Łuski i prochu,B,,,,,,,,,,
mcq,252,Rodzaj ładunku kruszącego w granacie F-1?,Heksogen,Trotyl,Plastyczny materiał wybuchowy,Amonal,B,,,,,,,,,,
mcq,253,Waga ładunku kruszącego w granacie RG-42 wynosi?,90 g,100 g,120 g,150 g,C,,,,,,,,,,
mcq,254,Czas zwłoki zapalnika UZRGM wynosi?,1–2 s,2–3 s,"3,2–4 s",5–6 s,C,,,,,,,,,,
mcq,255,Jednostka ognia w pistolecie P-83 wynosi?,8 naboi,15 naboi,16 naboi,32 naboje,C,,,,,,,,,,
mcq,256,Skrót UZRGM oznacza?,Uniwersalny zapalnik ręczny granatowy,Uniwersalny zapalnik ręcznych granatów modernizowany,Ujednolicony zapalnik ręczny granatu metalowego,Uniwersalny zapalnik ręcznych granatów wojskowych,B,,,,,,,,,,
mcq,257,Jaką amunicję stosuje się w pistolecie P-83?,9x19 mm,"7,62 mm",9x18 mm Makarow,"5,56 mm",C,,,,,,,,,,
mcq,258,Długość lufy pistoletu Vis 100 wynosi?,95 mm,100 mm,110 mm,120 mm,C,,,,,,,,,,
mcq,259,Pojemność magazynka pistoletu Vis 100 wynosi?,10 naboi,15 naboi,17 naboi (z możliwością zmniejszenia do 15),20 naboi,C,,,,,,,,,,
mcq,260,Jaki jest kaliber karabinka GROT?,"7,62 mm","5,45 mm","5,56 mm (oraz wersja 7,62 mm)",9 mm,C,,,,,,,,,,
mcq,261,Kogo wyznacza się do przestrzeliwania karabinu wyborowego?,Dowódcę drużyny,Instruktora strzelania,"Żołnierza, któremu broń została przydzielona",Najstarszego stopniem żołnierza,C,,,,,,,,,,
mcq,262,Od czego zależy tor lotu pocisku?,Wyłącznie od masy pocisku,Od kąta nachylenia i prędkości początkowej pocisku,Od koloru amunicji,Od rodzaju magazynka,B,,,,,,,,,,
mcq,263,Kto odpowiada za przestrzeganie zasad bezpieczeństwa podczas szkolenia strzeleckiego i rzutu granatem?,Wyłącznie kierownik strzelania,Dowódca jednostki,Każdy żołnierz,Instruktor granatów,C,,,,,,,,,,
mcq,264,Cztery zasady bezpiecznego posługiwania się bronią to?,"Broń, Lufa, Otoczenie, Spust (BLOS)","Broń, Ogień, Ładowanie, Strzał","Lufa, Ogień, Spust, Cel","Spust, Cel, Broń, Otoczenie",A,,,,,,,,,,
mcq,265,Co oznacza skrót PSBS?,Program Szkolenia Bojowego Strzelców,Program Strzelań z Broni Strzeleckiej,Podstawowe Szkolenie Bojowe Strzeleckie,Procedury Strzelania z Broni Służbowej,B,,,,,,,,,,
mcq,266,Czy zapalniki UZRGM oraz granaty F-1 i RG-42 mogą być przewożone razem w jednej skrzyni?,Tak,"Tak, pod nadzorem",Nie,Tylko w czasie wojny,C,,,,,,,,,,
mcq,267,Co musi mieć żołnierz założone po komendzie „Uwaga strzelanie”?,Hełm,Rękawice,Ochronniki słuchu i okulary ochronne,Kamizelkę taktyczną,C,,,,,,,,,,
mcq,268,Jakiego koloru chorągiew i światło w nocy oznaczają możliwość strzelania?,Zielona,Biała,Czerwona,Niebieska,C,,,,,,,,,,
mcq,269,Ile wynosi promień rażenia granatu F-1?,50 m,100 m,150 m,200 m,D,,,,,,,,,,
mcq,270,Radiostacja składa się z?,Anteny i zasilacza,"Zespołu nadawczo-odbiorczego, anteny i zasilacza akumulatorowego",Wyłącznie nadajnika,Odbiornika i mikrofonu,B,,,,,,,,,,
mcq,271,Czy łączność przewodowa jest podstawowym rodzajem łączności w pododdziale?,Tak,Nie – podstawową jest łączność radiowa,"Tak, w czasie pokoju",Tylko w działaniach obronnych,B,,,,,,,,,,
mcq,272,Kiedy łączność radiową uznajemy za nawiązaną?,Po włączeniu radiostacji,"Po wywołaniu, sprawdzeniu łączności i tożsamości",Po ustawieniu anteny,Po potwierdzeniu sygnału,B,,,,,,,,,,
mcq,273,Sieć radiowa to?,Zespół anten,Sposób organizacji łączności między trzema i więcej korespondentami,Jedna radiostacja z zapasem baterii,System satelitarny,B,,,,,,,,,,
mcq,274,W radiostacji R-3501 stosuje się anteny?,Wyłącznie krótką,Tylko taśmową,"Taśmową (0,9 m) i krótką (0,45 m)",Satelitarną,C,,,,,,,,,,
mcq,275,Jakie zjawisko wykorzystywane jest w dalekosiężnej łączności HF?,Załamanie światła,Odbicie fali od jonosfery,Fale ultradźwiękowe,Fale podczerwone,B,,,,,,,,,,
mcq,276,Czułość odbiornika radiokomunikacyjnego określana jest w?,Watach,Hercach,Decybelomikrowoltach (dBµV),Metrach,C,,,,,,,,,,
mcq,277,Istota łączności simpleksowej polega na?,Jednoczesnej transmisji w obu kierunkach,Transmisji naprzemiennej,Transmisji tylko w jednym kierunku w danym momencie,Łączności szyfrowanej,C,,,,,,,,,,
mcq,278,Od czego zależy zasięg łączności radiowej VHF?,Wyłącznie od częstotliwości,"Od mocy nadawania, wysokości anteny i warunków terenowych",Od koloru anteny,Od rodzaju mikrofonu,B,,,,,,,,,,
mcq,279,Zaletą łączności przewodowej jest?,Duży zasięg bez przewodów,Stabilność i niezawodność połączenia,Łatwość wykrycia,Wysoka podatność na zakłócenia,B,,,,,,,,,,
mcq,280,Kto jest przełożonym wszystkich żołnierzy?,Wyłącznie Prezydent RP,"Prezydent RP, Prezes Rady Ministrów, Minister Obrony Narodowej",Szef Sztabu Generalnego,Dowódca Generalny RSZ,B,,,,,,,,,,
mcq,281,Komu Dyżurny pododdziału melduje fakt zdania i objęcia służby?,Wyłącznie dowódcy pododdziału,Dowódcy pododdziału i oficerowi dyżurnemu jednostki,Szefowi sztabu,Najstarszemu podoficerowi,B,,,,,,,,,,
mcq,282,Wskaż poprawną formę meldunku podczas pierwszego przybycia przełożonego w danym dniu?,"„Panie…, kompania w gotowości.”","„Kompania, Baczność! Panie…, dyżurny kompanii melduje…”","„Panie…, wszystko w porządku.”",„Kompania gotowa do raportu.”,B,,,,,,,,,,
mcq,283,Meldunku nie składa się w czasie?,Apelu,Służby wartowniczej,"Akademii, zebrań i seansów",Odprawy,C,,,,,,,,,,
mcq,284,W wąskim przejściu żołnierz podaje komendę?,„Uwaga!”,„Baczność!”,„Przejście”,„Wolna droga”,C,,,,,,,,,,
mcq,285,Dozwolona długość paznokci to?,1 mm,2 mm poza opuszki palców,3 mm,Dowolna długość,B,,,,,,,,,,
mcq,286,Kto jest organizatorem apelu na szczeblu kompanii?,Dowódca batalionu,Szef pododdziału lub wyznaczony żołnierz,Oficer dyżurny,Dowódca plutonu,B,,,,,,,,,,
mcq,287,Maksymalny czas przepustki jednorazowej wydanej przez dowódcę plutonu to?,12 h,24 h,36 h,48 h,B,,,,,,,,,,
mcq,288,Posterunki wartownicze dzieli się na?,Stałe i ruchome,Zewnętrzne i wewnętrzne,"Całodobowe, okresowe i doraźne",Wszystkie powyższe,D,,,,,,,,,,
mcq,289,Za ochronę informacji niejawnych odpowiada?,Dowódca jednostki,Pełnomocnik ochrony,Każdy żołnierz,Oficer dyżurny,C,,,,,,,,,,
mcq,290,Z czego składa się „Komenda” podczas zajęć z musztry?,Z zapowiedzi i hasła,Z rozkazu i meldunku,Z polecenia i potwierdzenia,Z sygnału i odpowiedzi,A,,,,,,,,,,
mcq,291,Długość kroku defiladowego to?,50–60 cm,60–80 cm,70–90 cm,80–100 cm,B,,,,,,,,,,
mcq,292,Długość kroku zwykłego to?,50–60 cm,60–70 cm,70–80 cm,80 cm,B,,,,,,,,,,
mcq,293,Tempo kroku defiladowego wynosi?,100–110 kroków/min,110–120 kroków/min,112–116 kroków/min,120–130 kroków/min,C,,,,,,,,,,
mcq,294,W ugrupowaniu rozwiniętym pluton występuje w szyku?,W rzędzie,"W szeregu, dwuszeregu i trójszeregu",W kolumnie czwórkowej,W kolumnie marszowej,B,,,,,,,,,,
mcq,295,W ugrupowaniu marszowym pluton występuje w szyku?,W szeregu,W rzędzie i kolumnie dwójkowej,"W rzędzie oraz kolumnie dwójkowej, trójkowej i czwórkowej",Wyłącznie w kolumnie dwójkowej,C,,,,,,,,,,
mcq,296,W ugrupowaniu rozwiniętym drużyna występuje w szyku?,W szeregu i dwuszeregu,W kolumnie dwójkowej,W rzędzie,W trójszeregu,A,,,,,,,,,,
mcq,297,W ugrupowaniu marszowym drużyna występuje w szyku?,W szeregu,W rzędzie i kolumnie dwójkowej,W kolumnie czwórkowej,W trójszeregu,B,,,,,,,,,,
mcq,298,Na czym polega odstępowanie?,Na skróceniu szyku,Na zwiększeniu odstępów między żołnierzami,Na zmianie kierunku marszu,Na przejściu do kolumny,B,,,,,,,,,,
mcq,299,Z dwuszeregu w kolumnę czwórkową przechodzi się na komendę?,„W czwórki – marsz”,„W czwórki – w prawo zwrot”,„Kolumna czwórkowa – zbiórka”,„Czwórkami – naprzód”,B,,,,,,,,,,
mcq,300,Kto decyduje o udziale wojskowej asysty honorowej w uroczystościach państwowych?,Prezydent RP,Szef Sztabu Generalnego,Minister Obrony Narodowej,Dowódca garnizonu,C,,,,,,,,,,
mcq,301,Kto odpowiada za organizację i przebieg uroczystości z udziałem wojskowej asysty honorowej?,Dowódca pododdziału,Organizator uroczystości,MON,Oficer dyżurny,B,,,,,,,,,,
mcq,302,"Jeżeli uroczystość przewiduje składanie wieńców lub wiązanek, jaki sygnał należy odegrać?",„Marsz generalski”,„Słuchajcie wszyscy”,"„Śpij, Kolego” (ewentualnie „Cisza”)",„Hasło Wojska Polskiego”,C,,,,,,,,,,
mcq,303,Do uroczystości państwowych należą?,Święto Wojska Polskiego,Narodowy Dzień Pamięci Żołnierzy Wyklętych,Święto Narodowe 3 Maja i Narodowe Święto Niepodległości,Dzień Flagi RP,C,,,,,,,,,,
mcq,304,Do uroczystości wojskowych należą?,Wyłącznie święta państwowe,"Święto Wojska Polskiego, Narodowy Dzień Zwycięstwa, Dzień Pamięci Żołnierzy Wyklętych",Wyłącznie święta religijne,Wyłącznie rocznice lokalne,B,,,,,,,,,,
mcq,305,Podczas podchodzenia do składania meldunku odgrywany jest sygnał?,„Marsz generalski”,„Hasło WP”,„Słuchajcie wszyscy”,„Cisza”,C,,,,,,,,,,
mcq,306,Podczas przeglądu pododdziałów odgrywany jest sygnał?,"„Śpij, Kolego”",„Marsz generalski”,„Słuchajcie wszyscy”,„Cisza”,B,,,,,,,,,,
mcq,307,Czy w uroczystościach z udziałem wojskowej asysty honorowej mogą brać udział sztandary organizacji pozarządowych i szkół?,Tak,"Tak, za zgodą dowódcy",Nie,Wyłącznie w święta państwowe,C,,,,,,,,,,
mcq,308,Czy funkcjonariusze innych służb mogą wspólnie z żołnierzami pełnić wartę honorową?,Tak,Nie,Tylko podczas świąt państwowych,Tylko za zgodą MON,B,,,,,,,,,,
mcq,309,Co należy odegrać na zakończenie uroczystości organizowanej przez WP?,Hymn państwowy,„Marsz generalski”,„Hasło Wojska Polskiego”,„Cisza”,C,,,,,,,,,,
mcq,310,Co należy odegrać podczas podnoszenia na maszt proporca Prezydenta RP?,„Hasło WP”,„Marsz generalski”,Hymn państwowy – „Mazurek Dąbrowskiego”,„Cisza”,C,,,,,,,,,,
mcq,311,Co to jest działalność szkoleniowo-metodyczna?,Organizacja ćwiczeń taktycznych,Zespół przedsięwzięć umożliwiających dowódcom nabycie wiedzy metodycznej,Planowanie mobilizacji,Kontrola dyscypliny,B,,,,,,,,,,
mcq,312,Co to jest instruktaż?,Odprawa służbowa,Metodyczne przygotowanie instruktorów do prowadzenia zajęć,Sprawdzenie uzbrojenia,Plan szkolenia rocznego,B,,,,,,,,,,
mcq,313,Celem instruktażu jest?,Kontrola dyscypliny,Doskonalenie umiejętności metodycznych i sprawdzenie przygotowania do zajęć,Wydanie rozkazu bojowego,Weryfikacja sprzętu,B,,,,,,,,,,
mcq,314,Metody przeprowadzenia instruktażu to?,Rozkazowa i kontrolna,"Dyrektywna, pokazowa, kolegialna",Teoretyczna i praktyczna,Indywidualna i zespołowa,B,,,,,,,,,,
mcq,315,Zasada operatywności polega na?,Szybkim wydawaniu rozkazów,Wykorzystywaniu zdobytej wiedzy w praktycznym działaniu,Utrzymywaniu dyscypliny,Planowaniu szkolenia,B,,,,,,,,,,
mcq,316,Zajęcia mogą być realizowane w formach?,Wyłącznie teoretycznych,"Ćwiczeń taktycznych, zajęć taktycznych, treningu, kursów",Wyłącznie musztry,Wyłącznie podróży szkoleniowej,B,,,,,,,,,,
mcq,317,Kto odpowiada za poziom wyszkolenia bezpośrednio podległych wojsk?,Szef sztabu,Bezpośredni przełożony,MON,Dowódca garnizonu,B,,,,,,,,,,
mcq,318,Kierowanie szkoleniem realizowane jest zgodnie z zasadą?,Dowodzenie przez kontrolę,Dowodzenie przez szkolenie,Szkolenie przez rozkaz,Systematycznej oceny,B,,,,,,,,,,
mcq,319,Ile razy w roku uwzględnia się „Dzień gotowości mobilizacyjnej i bojowej”?,2,3,4,6,C,,,,,,,,,,
mcq,320,Co to jest musztra bojowa?,Ceremoniał wojskowy,Forma ćwiczeń taktycznych na szczeblu pododdziału,Apel poranny,Zajęcia teoretyczne,B,,,,,,,,,,
mcq,321,Zasady organizacji OPL to?,"Maskowanie, rozśrodkowanie, współdziałanie","Zmasowanie, komplementarność, mobilność, współdziałanie","Elastyczność, decentralizacja, manewrowość","Centralizacja, koncentracja, izolacja",B,,,,,,,,,,
mcq,322,Jaka powinna być obrona przeciwlotnicza?,Statyczna i liniowa,"Okrężna, elastyczna, głęboko urzutowana, mobilna, żywotna",Skoncentrowana wyłącznie wokół lotnisk,Wyłącznie pasywna,B,,,,,,,,,,
mcq,323,Co jest celem OPL?,Wyłącznie niszczenie lotnictwa przeciwnika,"Ochrona przestrzeni powietrznej, osłona wojsk i zwalczanie ŚNP",Utrzymanie łączności radiowej,Wsparcie logistyczne wojsk,B,,,,,,,,,,
mcq,324,Zadania wojsk OPL w czasie pokoju obejmują?,Wyłącznie szkolenie,"Ostrzeganie, zarządzanie ruchem, interweniowanie, ratownictwo",Tylko patrolowanie granic,Wyłącznie kontrolę radarową,B,,,,,,,,,,
mcq,325,Zadania wojsk OPL w czasie wojny obejmują?,Wyłącznie obronę lotnisk,Odpieranie agresji powietrznej i osłonę wojsk,Wsparcie artylerii,Ochronę infrastruktury cywilnej wyłącznie,B,,,,,,,,,,
mcq,326,W ramach powszechnej OPL realizuje się?,Zmasowanie ognia,"Maskowanie, rozśrodkowanie i likwidację skutków uderzeń",Wyłącznie użycie rakiet,Tylko działania ofensywne,B,,,,,,,,,,
mcq,327,Na uzbrojeniu pułku przeciwlotniczego znajdują się zestawy?,Wyłącznie KUB i OSA,PIORUN i GROM,"KUB, OSA, PIORUN, POPRAD, NAREW",Wyłącznie systemy artyleryjskie,C,,,,,,,,,,
mcq,328,System OPL ze względu na funkcjonalność składa się z?,Podsystemu dowodzenia i rozpoznania,"Podsystemu dowodzenia, rozpoznania, rażenia i kontroli przestrzeni powietrznej",Wyłącznie podsystemu rażenia,Podsystemu logistycznego,B,,,,,,,,,,
mcq,329,Koncepcja OPL (zamiar działania) musi zawierać?,Wyłącznie wykaz sił,"Sposób użycia sił i środków OPL, rejony odpowiedzialności i współdziałanie",Wyłącznie dane logistyczne,Plan szkolenia,B,,,,,,,,,,
mcq,330,Jakie są metody oceny przeciwnika powietrznego?,Taktyczna i operacyjna,"Pojemnościowa, obiektowa i normatywna",Liniowa i strefowa,Statystyczna i dynamiczna,B,,,,,,,,,,
