type,id,question,A,B,C,D,correct,image,acceptedAnswers,image1,answer1,image2,answer2,image3,answer3,image4,answer4
mcq,204,Gdzie należy gromadzić w jednostce wojskowej odpady pochodzące z procesu szkolenia?,w wykopanych dołach na terenie jednostki wojskowej lub poligonu,w oznakowanych pojemnikach,w wyznaczonych miejscach w jednostce wojskowej gdzie utylizuje się je na miejscu,"w specjalnie przygotowanych i oznakowanych pojemnikach, workach, koszach i kontenerach przed wywiezieniem do utylizacji w specjalnie do tego przeznaczonych cywilnych zakładach",D,,,,,,,,,,
mcq,205,Dla ochrony środowiska ważne jest również ograniczanie hałasu w jednostce i na poligonie. Długotrwały hałas pochodzący z eksploatacji pojazdów wojskowych może spowodować zaburzenia w środowisku naturalnym i szkodzić zdrowiu żołnierzy. Emisja hałasu pojazdów wojskowych to?,40 decybeli,50 decybeli,70 decybeli,80 decybeli,D,,,,,,,,,,
mcq,206,"Natężenie dźwięku, przy którym doznajemy bólu, czyli granica bólu, np. hałas silnika samolotu odrzutowego podczas startu słyszany z odległości poniżej 100 m, to?",80 decybeli,90 decybeli,100 decybeli,120 decybeli,D,,,,,,,,,,
mcq,207,Jaką procedurę stosuje się po zatrzymaniu pojazdu w miejscu niebezpiecznym?,5 – 25,5 x C,C – IED,EOD,A,,,,,,,,,,
mcq,208,Jaka jest masa ogólna miny przeciwpancernej TM – 62M?,9 kg,"9,5-10 kg",11 kg,"10,5 kg",B,,,,,,,,,,
mcq,209,Jaką procedurę stosuje się w przypadku wykrycia lub podejrzenia podłożenia IED?,5 – 25,EOD,5 x C,C – IED,C,,,,,,,,,,
mcq,210,Co to jest EOD?,improwizowane urządzenie wybuchowe z elementem nieusuwalności,Procedura postępowania w przypadku wykrycia niewybuchu,Pododdział do zwalczania improwizowanych urządzeń wybuchowych,"Ubezpieczenie pododdziałów w celu ich obrony przed obserwacją, ogniem bezpośrednim oraz niespodziewanym atakiem przeciwnika",C,,,,,,,,,,
mcq,211,Materiały wybuchowe według klasyfikacji użytkowej to?,"MW inicjujące, MW burzące, MW miotające, masy pirotechniczne","MW inicjujące, MW kruszące, MW miotające, masy pirotechniczne","MW inicjujące, MW kruszące, MW burzące, masy zapalające","MW inicjujące, MW kruszące, MW miotające, masy promieniujące",B,,,,,,,,,,
mcq,212,Procedura 5xC to?,"check, confirm, clear, cordon and control – sprawdź, potwierdź, oczyść, otocz/zabezpiecz i kontroluj","choose, confirm, clear, cordon and control – wybierz, potwierdź, oczyść, otocz/zabezpiecz i kontroluj","check, cover, clear, cordon and control – sprawdź, osłoń, oczyść, otocz/zabezpiecz i kontroluj","check, confirm, clear, concentrate and control – sprawdź, potwierdź, oczyść, skoncentruj i kontroluj",A,,,,,,,,,,
mcq,213,Czym są materiały wybuchowe?,"Materiałami wybuchowymi nazywamy związki chemiczne, zdolne pod wpływem określonego oddziaływania zewnętrznego do szybkiej przemiany chemicznej połączonej z wydzielaniem silnie nagrzanych oraz sprężonych dużych ilości gazów, które gwałtownie rozprężając się, nie są w stanie wykonać pracy mechanicznej","Materiałami wybuchowymi nazywamy związki chemiczne lub ich mieszaniny, zdolne pod wpływem określonego oddziaływania zewnętrznego do bardzo szybkiej przemiany chemicznej połączonej z wydzielaniem silnie nagrzanych oraz sprężonych dużych ilości gazów, które gwałtownie rozprężając się, są w stanie wykonać pracę mechaniczną","Materiałami wybuchowymi nazywamy mieszaniny, zdolne pod wpływem określonego oddziaływania zewnętrznego do bardzo szybkiej przemiany chemicznej połączonej z wydzielaniem silnie nagrzanych oraz sprężonych dużych ilości związków stałych, które gwałtownie rozprężając się, są w stanie wykonać pracę mechaniczną","Materiałami wybuchowymi nazywamy związki chemiczne lub ich mieszaniny, zdolne pod wpływem określonego oddziaływania wewnętrznego do bardzo szybkiej reakcji chemicznej połączonej z wydzielaniem silnie nagrzanych oraz sprężonych dużych ilości gazów, które gwałtownie rozprężając się, są w stanie wykonać pracę mechaniczną",B,,,,,,,,,,
mcq,214,Gdzie stosujemy materiały wybuchowe inicjujące?,"M.in. w zapalnikach min lądowych i morskich, torpedach i minach morskich, spłonkach pobudzających i zapalnikach elektrycznych, urządzeniach zapalających bomb głębinowych",Tylko w spłonkach amunicji pistoletowej i karabinowej,"Tylko w zapalnikach i zapłonnikach w amunicji armatniej, moździerzowej, głowicach bojowych rakiet itp.",Tylko w zapalnikach do min morskich,A,,,,,,,,,,
mcq,215,Co to jest IED?,"Improvised Explosive Device – improwizowane urządzenie wybuchowe. Jest to urządzenie wykonane w sposób zaplanowany, zawierające szkodliwe, pirotechniczne lub zapalające środki chemiczne przeznaczone do niszczenia, unieszkodliwienia, nękania lub odwracania uwagi","Improvised Explosive Device – improwizowane urządzenie wybuchowe. Jest to urządzenie wykonane w sposób improwizowany, niezawierające materiału wybuchowego i służące jako atrapa","Improvised Explosive Device – improwizowane urządzenie wybuchowe. Jest to ładunek wybuchowy, zaprojektowany i opracowany w celu nękania przeciwnika","Improvised Explosive Device – improwizowane urządzenie wybuchowe. Jest to urządzenie wykonane w sposób improwizowany, zawierające niszczące, śmiertelne, szkodliwe, pirotechniczne lub zapalające środki chemiczne przeznaczone do niszczenia, unieszkodliwienia, nękania lub odwracania uwagi",D,,,,,,,,,,
mcq,216,Co oznacza słowo Control podczas procedury 5xC?,"Ustanów strefę bezpieczeństwa wokół miejsca prawdopodobnego IED celem zminimalizowania zagrożeń oraz izolacji terenu przed przenikaniem osób postronnych, zabezpieczeniem rejonu dla wezwanego EOD jak również zapobieganie odpalenia kierowanego IED","Faza ta obejmuje zastosowanie sprawdzenia miejsca postoju pojazdu z zastosowaniem procedury 5-25m. Wszystkie podejrzane przedmioty i zachowania powinny być natychmiast meldowane do dowódcy patrolu z podaniem lokalizacji – kierunek, odległość, opis przedmiotu i/lub podejrzanego zachowania","Ustanów punkt kontrolny na wjeździe/wejściu do rejonu objętego kordonem i kontroluj ruch odbywający się w rejonie, ustal pozycje blokujące, zawsze przewiduj postępowanie w wypadku ataku przeciwnika podczas zabezpieczania miejsca ustawienia IED","Faza obejmuje potwierdzenie z zachowaniem bezpiecznego dystansu, używając minimalnej liczby żołnierzy do sprawdzenia miejsca określonego jako prawdopodobna lokalizacja IED. Zachowanie odpowiedniej odległości jest najlepszym zabezpieczeniem w razie wybuchu IED",C,,,,,,,,,,
mcq,217,Do „Zabójcy pola walki” nie należą?,Masywne krwotoki,Odma płucna,Oparzenia,Złamania kończyn,C,,,,,,,,,,
mcq,218,Do objawów obstrukcji dróg oddechowych nie należy?,Utrata przytomności,Bełkotanie,Bulgotanie,Niewyczuwalny oddech,B,,,,,,,,,,
mcq,219,Kiedy krwotok nie zagraża życiu?,Obecny jest pulsujący wypływ krwi,Czynny krwotok ustał na skutek wejścia pacjenta we wstrząs,Brak przesiąku przez opatrunek,Masywny krwotok jest niezaopatrzony,C,,,,,,,,,,
mcq,220,Do objawów odmy opłucnowej nie należy?,Spłycony oddech,Bladość/sinica,Prawidłowa akcja serca,Zapadnięte płuco,C,,,,,,,,,,
mcq,221,Do czynników determinujących jakość zabezpieczenia medycznego w trakcie prowadzenia działań operacyjnych nie należy?,Standardy udzielanej pomocy medycznej,Ciągłość zapewnienia opieki medycznej,Ciągłość przeprowadzanych działań operacyjnych,Szybkość udzielenia pierwszej pomocy i rozszerzonej pierwszej pomocy,C,,,,,,,,,,
mcq,222,Czego nie dotyczy zasada 10-1-2?,Pierwsze 10 min dla ratowania życia,Dwie osoby ratujące,Resuscytacja urazowa nie później niż w ciągu 1 godziny od zranienia,"Chirurgia ratunkowa w ciągu 1 godziny, lecz nie później niż 2 godziny od zranienia",B,,,,,,,,,,
mcq,223,Do rodzajów pomocy medycznej w systemie opieki nad poszkodowanym i chorym nie należy?,Pierwsza pomoc,Pomoc laryngologiczna,Kwalifikowana pomoc medyczna,Rozszerzona pierwsza pomoc,B,,,,,,,,,,
mcq,224,Do zapasów materiałowych nie należy?,Broń,Sprzęt medyczny,Środki opatrunkowe,Zestawy chirurgiczne,A,,,,,,,,,,
mcq,225,Działania podejmowane w przypadku hipotermii nie obejmują?,Zapobiegać szybko i zdecydowanie dalszemu spadkowi temperatury ciała,Stopniowo ogrzewać osobę w hipotermii,Szybko schłodzić poszkodowanego,Umieść poszkodowanego w zewnętrznym wodoodpornym śpiworze,C,,,,,,,,,,
mcq,226,Uraz czaszkowo-mózgowy nie jest prowadzony pod kątem?,Szerokości i reakcji źrenic,"SBP, ciśnienie skurczowe, powinno być na poziomie ≤ 90 mmHg",Hipotermii,Pęknięcia podstawy czaszki,B,,,,,,,,,,
mcq,227,Do zasadniczych zadań zabezpieczenia inżynieryjnego nie należy?,Przygotowanie i utrzymanie dróg,Rozśrodkowanie wojsk,Wydobywanie i oczyszczanie wody,,B,,,,,,,,,,
mcq,228,Jakie powinno być maskowanie?,"Ciągłe, różnorodne, odporne na warunki atmosferyczne i wiarygodne","Aktywne, ciągłe, wiarygodne i różnorodne","Dynamiczne, wiarygodne i różnorodne",,B,,,,,,,,,,
mcq,229,Jakie wyróżniamy sposoby ustawiania pól minowych?,"Ręczny, mechaniczny, elektromagnetyczny","Narzutowy, ręczny, mechaniczny","Mechaniczny, narzutowy, elektromagnetyczny",,B,,,,,,,,,,
mcq,230,Mechaniczny sposób wykonania przejścia w polu minowym polega na?,Trałowaniu przejść trałami naciskowymi i wykopowymi w polach minowych,Niszczeniu min falą nadciśnienia powstałą w wyniku wybuchu ładunków materiału wybuchowego,Wyszukaniu min za pomocą wykrywaczy oraz ich usunięcie,,A,,,,,,,,,,
mcq,231,Ze względu na przeznaczenie miny dzielą się na?,"miny przeciwpiechotne, przeciwpancerne, przeciwdesantowe, przeciwtransportowe drogowe, kolejowe, rzeczne, specjalne dywersyjne, miny-pułapki","miny przeciwpiechotne, przeciwpancerne, specjalne","miny ogólnego przeznaczenia, miny dystansowe, miny pułapki",,A,,,,,,,,,,
mcq,232,Wojska inżynieryjne wchodzące w skład Wojsk Lądowych zorganizowane są?,"w brygady: saperów; pułki: drogowo-mostowe, inżynieryjne; pododdziały: saperów, minowania, drogowo-mostowe, pontonowe, przeprawowe, maszyn inżynieryjnych, rozpoznania inżynieryjnego, maskowania, techniczne","w brygady: saperów, pontonowo-mostowe; pułki: saperów, drogowo-mostowe, inżynieryjne; pododdziały: saperów, minowania, drogowo-mostowe, pontonowe, przeprawowe, maszyn inżynieryjnych, rozpoznania inżynieryjnego, maskowania, techniczne, wydobywania i oczyszczania wody, ratownictwa inżynieryjnego","w pułki: saperów, drogowo-mostowe, inżynieryjne; pododdziały: saperów, minowania, drogowo-mostowe, pontonowe, przeprawowe, maszyn inżynieryjnych, rozpoznania inżynieryjnego, maskowania, techniczne, wydobywania i oczyszczania wody, ratownictwa","w pododdziały: saperów, minowania, drogowo-mostowe, pontonowe, przeprawowe, maszyn inżynieryjnych, rozpoznania inżynieryjnego, maskowania, techniczne, wydobywania i oczyszczania wody, ratownictwa inżynieryjnego",C,,,,,,,,,,
mcq,233,Do zadań bezpośredniego wsparcia inżynieryjnego należy zaliczyć?,"Rozpoznanie inżynieryjne, utrzymanie i budowa dróg i przepraw, likwidacja przeszkód, zakładanie i utrzymanie zapór inżynieryjnych, maskowanie i zabezpieczenie pozycji wojsk, wsparcie w forsowaniu przeszkód terenowych",Wyłącznie prowadzenie ewidencji sprzętu inżynieryjnego i sporządzanie meldunków logistycznych,Tylko ochrona stanowisk dowodzenia przed rozpoznaniem przeciwnika,Wyłącznie organizowanie szkolenia teoretycznego z zakresu rozpoznania inżynieryjnego,A,,,,,,,,,,
mcq,234,Zapory inżynieryjne powinny?,"ograniczać ruch wojsk przeciwnika, stwarzać przeciwnikowi trudności w ich rozpoznawaniu i pokonywaniu, zmusić elementy ugrupowania bojowego przeciwnika do skierowania na kierunki i rubieże dogodne do jego zatrzymania i rozbicia, nie ograniczać manewru wojskom własnym, być jak najbardziej wrażliwe na oddziaływanie środków ogniowych przeciwnika i warunków klimatycznych","ograniczać ruch wojsk przeciwnika, nie stwarzać przeciwnikowi trudności w ich rozpoznawaniu i pokonywaniu, zmusić elementy ugrupowania bojowego przeciwnika do skierowania na kierunki i rubieże dogodne do jego zatrzymania i rozbicia, nie ograniczać manewru wojskom własnym, być jak najmniej wrażliwe na oddziaływanie środków ogniowych przeciwnika i warunków klimatycznych","nie ograniczać ruchu wojsk przeciwnika, stwarzać przeciwnikowi trudności w ich rozpoznawaniu i pokonywaniu, zmusić elementy ugrupowania bojowego przeciwnika do skierowania na kierunki i rubieże dogodne do jego zatrzymania i rozbicia, nie ograniczać manewru wojskom własnym, być jak najmniej wrażliwe na oddziaływanie środków ogniowych przeciwnika i warunków klimatycznych","ograniczać ruch wojsk przeciwnika, stwarzać przeciwnikowi trudności w ich rozpoznawaniu i pokonywaniu, zmusić elementy ugrupowania bojowego przeciwnika do skierowania na kierunki i rubieże dogodne do jego zatrzymania i rozbicia, nie ograniczać manewru wojskom własnym, być jak najmniej wrażliwe na oddziaływanie środków ogniowych przeciwnika i warunków klimatycznych",D,,,,,,,,,,
mcq,235,Na jaką komendę żołnierze zapalają lont prochowy zapalnika lontowego?,WYSADZAĆ,MOŻNA STRZELAĆ,OGNIA,,A,,,,,,,,,,
mcq,236,Jakie jest przeznaczenie lontu prochowego?,"Lont prochowy przeznaczony jest do powodowania wybuchu spłonek pobudzających, a tym samym ładunków materiałów wybuchowych sposobem ogniowym. Za pomocą lontu prochowego przenosi się ogień od źródła do spłonki pobudzającej",Lont prochowy służy wyłącznie do oznaczania miejsca założenia ładunku wybuchowego,Lont prochowy służy do mechanicznego rozbrajania min przeciwpancernych,Lont prochowy służy do neutralizacji materiałów wybuchowych przez ich schłodzenie,A,,,,,,,,,,
mcq,237,"Jakie akty prawa regulują zasady wyróżniania żołnierzy i byłych żołnierzy oraz pododdziałów, oddziałów i instytucji wojskowych?",ustawa oraz akty wykonawcze,zwyczaj,decyzje przełożonych,decyzje właściwego zebrania korpusu osobowego,A,,,,,,,,,,
mcq,238,"Jakie akty prawa regulują zasady i sposoby reagowania na naruszenia dyscypliny wojskowej oraz ponoszenia przez żołnierzy odpowiedzialności dyscyplinarnej, jak również tryb postępowania w tych sprawach?",ustawa oraz akty wykonawcze,Regulamin Ogólny SZ RP,decyzje przełożonych,Kodeks Honorowy żołnierza zawodowego Wojska Polskiego,A,,,,,,,,,,
mcq,239,Kto jest zobowiązany do kształtowania dyscypliny wojskowej żołnierzy przez działania profilaktyczno-wychowawcze?,wojskowe służby porządkowe,kolektyw koleżeński,Mąż Zaufania właściwego korpusu osobowego,przełożony,D,,,,,,,,,,
mcq,240,Kto jest zobowiązany do kształtowania dyscypliny wojskowej żołnierzy przez tworzenie warunków do wyróżniania i przestrzegania dyscypliny wojskowej oraz reagowania na zachowania naruszające dyscyplinę wojskową?,wojskowe służby porządkowe,kolektyw koleżeński,każdy żołnierz,przełożony,D,,,,,,,,,,
mcq,241,Za jaki czyn żołnierz ponosi odpowiedzialność dyscyplinarną?,przewinienie dyscyplinarne,wykroczenie,przestępstwo określone w Kodeksie karnym,w sprawach objętych Kodeksem Honorowym żołnierza zawodowego Wojska Polskiego,A,,,,,,,,,,
mcq,242,Co to jest dyscyplina wojskowa?,przestrzeganie reguł koleżeńskich w wojsku,przestrzeganie przez żołnierza przepisów prawa dotyczących służby wojskowej i innych przepisów prawa przewidujących odpowiedzialność dyscyplinarną na zasadach i w trybie określonych w ustawie oraz wykonywanie rozkazów i decyzji wydanych w sprawach służbowych,przestrzeganie reguł moralnych,przestrzeganie norm prawa w wojsku,B,,,,,,,,,,
mcq,243,Kto jest przełożonym dyscyplinarnym w Wojsku Polskim w stosunku do wszystkich żołnierzy?,Szef Sztabu Generalnego,Dowódca Rodzajów Wojsk,Marszałek Sejmu,Minister Obrony Narodowej i Naczelny Dowódca Sił Zbrojnych,D,,,,,,,,,,
mcq,244,Karami dyscyplinarnymi nie są?,upomnienie,nagana,kara dyscyplinarna,zobowiązanie do przeproszenia pokrzywdzonego,D,,,,,,,,,,
mcq,245,Środkami dyscyplinarnymi nie są?,zobowiązanie do przeproszenia pokrzywdzonego,zobowiązanie do wykonywania dodatkowych zadań służbowych,zobowiązanie do naprawienia wyrządzonej szkody,niedopuszczenie do wykonywania czynności służbowych,D,,,,,,,,,,
mcq,246,Dyscyplinarnymi środkami zapobiegawczymi nie są?,niedopuszczenie do wykonywania czynności służbowych,osadzenie w izbie zatrzymań,zawieszenie w czynnościach służbowych,zobowiązanie do przeproszenia pokrzywdzonego,D,,,,,,,,,,
mcq,247,"Autorzy Kodeksu Honorowego żołnierza zawodowego Wojska Polskiego jako wykładnię jego treści przyjęli zasady z etyki wojskowej jak i etyki walki zbrojnej, należących do?",jednej z najstarszych etyk specjalnych,współczesnych etyk specjalnych,etyk tworzonych na zapotrzebowanie konkretnego konfliktu zbrojnego,Kodeksu honorowego Boziewicza,A,,,,,,,,,,
mcq,248,Czy w Kodeksie Honorowym żołnierza zawodowego Wojska Polskiego podstawy powinności żołnierskich określają?,Konstytucja Rzeczypospolitej Polskiej,Ustawa o służbie wojskowej żołnierzy zawodowych,Zapisy Regulaminu Ogólnego Sił Zbrojnych,Konstytucja Rzeczypospolitej Polskiej i ustawa o służbie wojskowej żołnierzy zawodowych,D,,,,,,,,,,
mcq,249,"Kto jest autorem przedwojennej broszury Oficer polski, której lekturę zaleca się dowódcom do wykorzystania w działalności dowódczo-wychowawczej?",gen. Kazimierz Sosnkowski,gen. Józef Haller,gen. Władysław Sikorski,Tadeusz Hołówko,D,,,,,,,,,,
mcq,250,"Jak brzmi nazwa przedwojennego dokumentu Szkoły Podchorążych Lotnictwa, swoistego zapisu kodeksu honorowego podchorążych?",Kodeks podchorążego Szkoły Lotniczej,Zasady postępowania podchorążego Szkoły Podchorążych Lotnictwa,10 przykazań podchorążego,12 PRZYKAZAŃ PODCHORĄŻEGO,D,,,,,,,,,,
mcq,251,W 1990 roku został przyjęty przez społeczność podchorążych lotniczej uczelni w Dęblinie nowy kodeks postępowania. Jak brzmi jego tytuł?,Kodeks Honorowy Podchorążych Szkoły Orląt,Przykazania Podchorążego Szkoły Orląt,20 Przykazań podchorążego Szkoły Orląt,Zasady postępowania podchorążego Szkoły Orląt,A,,,,,,,,,,
mcq,252,"Wyjątkowy charakter działań zbrojnych, w których są ranni i zabici, nakłada na żołnierzy bezwzględny obowiązek?",powstrzymywania się przed okrucieństwem i bestialstwem,powstrzymanie się przed haniebnym zachowaniem wobec nieprzyjaciela,powstrzymanie się przed haniebnym zachowaniem wobec jego ludności cywilnej,powstrzymanie się przed złamaniem powyższych zasad jako podstawowego imperatywu etycznego niosącego ze sobą w przyszłości cały bagaż dotkliwych skutków prawnych i moralnych,D,,,,,,,,,,
mcq,253,Podstawowym celem etyki walki zbrojnej jest?,"kształtowanie i wzmacnianie moralnie pozytywnych postaw i zachowań żołnierzy, takich jak męstwo, ofiarność i poświęcenie","eliminacja i przezwyciężanie zwątpień, tchórzostwa",eliminacja i przezwyciężanie dezercji,"kształtowanie wyżej wymienionych wartości oraz poczucia moralnego, powstrzymującego żołnierza od rzezi bezbronnych, grabieży, gwałtów, bezmyślnego niszczenia mienia",D,,,,,,,,,,
mcq,254,"W Kodeksie Honorowym żołnierza zawodowego Wojska Polskiego zapisano, że w trakcie walki zbrojnej żołnierz ma przestrzegać norm międzynarodowego prawa humanitarnego konfliktów zbrojnych. Jak brzmi tytuł rozdziału, w którym ujęto te zapisy?",Żołnierz zawodowy w sytuacjach bojowych,Żołnierz w walce,Żołnierz zawodowy w konflikcie zbrojnym,Żołnierz zawodowy na polu walki,A,,,,,,,,,,
mcq,255,"Dzielność żołnierza, potocznie utożsamiana jest z jego sprawnością bojową wykazywaną w walce zbrojnej. W dzielnym postępowaniu na polu walki żołnierz winien kierować się między innymi zasadami?",szlachetności i adekwatności środków,humanitaryzmu i odpowiedzialności,przestrzeganiem międzynarodowego prawa humanitarnego konfliktów zbrojnych,wszystkimi wyżej wymienionymi,D,,,,,,,,,,
mcq,256,Czy w Kodeksie Honorowym żołnierza zawodowego Wojska Polskiego przyjęto określone zasady postępowania w sprawach naruszania honoru i godności?,"Tak, jest ona opisana w rozdziale o Postępowaniu w sprawach honorowych","Nie, jest ona opisana w Regulaminie ogólnym SZ RP","Nie, jest ona każdorazowo ustalana przez Męża Zaufania właściwego korpusu osobowego","W Kodeksie Honorowym żołnierza zawodowego Wojska Polskiego zapisano, że taką procedurę przyjmuje zebranie korpusu osobowego właściwe dla żołnierza",A,,,,,,,,,,
mcq,257,"Tebańczycy dowodzeni przez Epaminondasa pokonali Spartan w bitwie pod Leuktrami w sierpniu 371 r. p.n.e., a zapewnili sobie zwycięstwo zastosowanymi sposobami walki zwanymi później zasadami sztuki wojennej?",stosując zaskoczenie w uszykowaniu wojska do walki,"koncentracją znacznych sił na jednym ze skrzydeł, zaskakując tym Spartan",wprowadzeniem manewru dla części sił swojej falangi,"łącząc zaskoczenie Spartan z manewrowością oddziałów hoplitów, wprowadzając ustawienie swoich wojsk w szyku skośnym, koncentrując znaczne siły na jednym ze skrzydeł",D,,,,,,,,,,
mcq,258,"Manewr kanneński zastosowany przez kartagińskiego wodza Hannibala 2 VIII 216 r. p.n.e. to taktyczne okrążenie przeciwnika, czyli legionów rzymskich, w celu ich zniszczenia przy wykorzystaniu swoich mniejszych sił i był możliwy dzięki zastosowaniu przez niego zasad sztuki wojennej?","zaskoczenie przeciwnika zastosowaną ekonomią użycia swoich dwukrotnie mniejszych sił, poprzez wprowadzenie dużej manewrowości wojsk, utrzymanie na skrzydłach silnych zgrupowań ciężkiej piechoty, cofanie lekkiej piechoty w centrum i zsynchronizowane uderzenie kawalerii prowadzące do okrążenia Rzymian",zastosowaniem zmasowanego uderzenia ciężkiej i lekkiej piechoty wspieranej kawalerią na skrzydła wojsk rzymskich,zaskoczenie przeciwnika uderzeniem kawalerii w jego centrum przy zsynchronizowanym działaniu piechoty na skrzydłach,zaskoczenie Rzymian w centrum atakiem lekkiej piechoty walczącej w szyku rozproszonym oraz zaatakowaniem na skrzydle zgrupowaniem ciężkiej piechoty kartagińskiej ustawionej w szyku skośnym,A,,,,,,,,,,
mcq,259,O zwycięstwie Hetmana Jana Karola Chodkiewicza 27 września 1605 r. pod Kircholmem nad wojskami szwedzkimi zdecydowała?,przewaga liczebna wojsk polskich i litewskich,siła ognia polsko-litewskiej artylerii,siła uderzenia husarii,"zastosowanie przez Hetmana Chodkiewicza zasady ekonomii sił oraz elementu zaskoczenia wojsk szwedzkich wysoką manewrowością ciężkiej jazdy, czyli husarii i ciągła inicjatywa w prowadzeniu wyprzedzających uderzeń jazdy polsko-litewskiej na skrzydła oddziałów szwedzkich",D,,,,,,,,,,
mcq,260,Stare urządzenie polskie to?,zbroja polskiego piechura w XVI wieku,ciężka zbroja polskiego jeźdźca w XVII wieku,fragment fortyfikacji na Podolu,szyk bojowy jazdy polskiej stosowany od połowy XV do połowy XVI wieku,D,,,,,,,,,,
mcq,261,"Wielkim zaskoczeniem dla Rosjan w Bitwie o Warszawę stoczonej w dniach 13-25 sierpnia było natarcie manewrowej grupy uderzeniowej, którą dowodził Józef Piłsudski. Uderzenie skoncentrowanych wojsk polskich w dniu 16 sierpnia 1920 r. miało miejsce znad?",Wieprza,Wisły,Narwi,Niemna,A,,,,,,,,,,
mcq,262,"W wojnie z Rosją Sowiecką w latach 1919-1920 świeżo sformowane polskie lotnictwo wojskowe wykonywało zadania rozpoznania powietrznego, utrzymania łączności między dowództwami wojsk lądowych, bombardowania i ostrzeliwania z broni pokładowej przeciwnika. Liczyło ono?",25 eskadr,17 eskadr,10 eskadr,20 eskadr,D,,,,,,,,,,
mcq,263,W październiku 1926 r. w Sztabie Generalnym zdecydowano o sformowaniu w polskim lotnictwie wojskowym eskadr nowego rodzaju lotnictwa?,liniowego,rozpoznawczego,szturmowego,towarzyszącego,D,,,,,,,,,,
mcq,264,"W polskim Regulaminie Lotnictwa z 1931 roku ustalono, że można wykonywać zadania grupą samolotów zwaną rojem. Liczebność tej formacji to?",4-9 samolotów,2-3 samoloty,3-4 samoloty,4-12 samolotów,A,,,,,,,,,,
mcq,265,Polskie Siły Powietrzne na Zachodzie w latach 1943-1945 miały na wyposażeniu najnowocześniejsze samoloty II wojny światowej produkcji brytyjskiej i amerykańskiej. W jakiej ilości?,150 samolotów,220 samolotów,200 samolotów,300 samolotów,D,,,,,,,,,,
mcq,266,Najdłużej eksploatowanym samolotem w polskim szkolnictwie lotniczym był?,PWS-26,RWD-8,Lim-2,TS-11 Iskra,D,,,,,,,,,,
mcq,267,Manewr kanneński zastosowany 2 VIII 216 r. p.n.e. był dziełem?,Hannibala,Juliusza Cezara,Aleksandra Macedońskiego,Scypiona Afrykańskiego,A,,,,,,,,,,
mcq,268,Hetman wielki koronny Jan Sobieski został wybrany w 1674 r. królem Polski między innymi pod wpływem?,swojego zwycięstwa w bitwie z Turkami pod Chocimiem w 1673 r.,zwycięstwa pod Grunwaldem,zawarcia pokoju w Oliwie,zwycięstwa pod Kircholmem,A,,,,,,,,,,
mcq,269,"Szarża 1 Pułku Szwoleżerów Gwardii Cesarskiej przeprowadzona 30 XI 1808 r. na przełęcz Somosierra polegała na tym, że?","125 polskich szwoleżerów z 1. Pułku Szwoleżerów Gwardii Cesarskiej pod dowództwem Jana Leona Kozietulskiego dokonało brawurowego ataku na silnie bronioną przełęcz Somosierra, otwierając Napoleonowi drogę do Madrytu",polscy ułani zdobyli most pod Lipskiem podczas odwrotu Wielkiej Armii,piechota polska zdobyła twierdzę Saragossa bez udziału kawalerii,oddziały polskie przeprowadziły obronę przełęczy przed armią Napoleona,A,,,,,,,,,,
mcq,270,Termin branka przeszedł do historii jako określenie?,"przymusowego poboru młodych Polaków do armii rosyjskiej, przeprowadzonego w Królestwie Polskim w nocy z 14 na 15 stycznia 1863 roku",dobrowolnego zaciągu do Legionów Polskich w 1914 roku,poboru rekrutów do armii Księstwa Warszawskiego,przymusowego wysiedlenia ludności po powstaniu listopadowym,A,,,,,,,,,,
mcq,271,Najkrwawsza bitwa I wojny światowej rozegrała się pod?,Sommą,Verdun,Tannenbergiem,Ypres,A,,,,,,,,,,
mcq,272,Miano Polskie Termopile Kampanii 1939 r. nadano?,Bitwie pod Wizną,Bitwie nad Bzurą,Obronie Westerplatte,Bitwie pod Kockiem,A,,,,,,,,,,
mcq,273,Ten wybitny polski pilot nie był dowódcą Dywizjonu 303?,Stanisław Skalski,Witold Urbanowicz,Zdzisław Krasnodębski,Ronald Kellett,A,,,,,,,,,,
mcq,274,Cichociemnymi nazywano?,"żołnierzy konspiracyjnej Armii Krajowej w służbie specjalnej, służących w strukturach wojskowych Polskiego Państwa Podziemnego",pilotów Dywizjonu 303 walczących w Bitwie o Anglię,żołnierzy piechoty morskiej walczących pod Narwikiem,ochotników walczących w Legionach Polskich,A,,,,,,,,,,
mcq,275,W czasie Powstania Warszawskiego Niemcy dokonali masowych mordów ludności cywilnej na?,Woli,Pradze,Żoliborzu,Mokotowie,A,,,,,,,,,,
mcq,276,W 1952 r. płk pil. Szczepan Ścibior został skazany na śmierć przez?,Najwyższy Sąd Wojskowy pod przewodnictwem płk. Piotra Parzenieckiego,Sąd Najwyższy II Rzeczypospolitej,Trybunał Wojskowy w Norymberdze,Wojskowy Sąd Rejonowy w Londynie,A,,,,,,,,,,
mcq,277,Wymień podstawowy akt prawny normujący ochronę informacji niejawnych w RP.,Ustawa z dnia 5 sierpnia 2012 r. o ochronie informacji niejawnych,Ustawa z dnia 5 sierpnia 2010 r. o ochronie informacji niejawnych,Ustawa z dnia 15 sierpnia 2010 r. o ochronie informacji niejawnych,,B,,,,,,,,,,
